#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
happiness,3,2,1,2
sadness,3,2,1,2
death,3,1,2,1
tragedy,3,1,2,2
alone,3,1,2,2
love,3,2,1,2
adventure,3,2,1,1
sweet,3,2,1,1
excitement,3,2,1,1
fireworks,3,2,1,1
romance,3,2,1,2
tears,3,1,2,1
depression,3,1,2,1
heart,3,2,1,1
marriage,3,2,1,2
passion,3,2,1,2
childhood,3,2,1,1
fun,3,2,1,1
color,3,2,1,1
hope,3,1,2,1
friends,3,2,1,1
family,3,2,1,1
party,3,2,1,1
vacation,3,2,1,1
lazy,3,2,1,1
daydream,3,1,2,1
pain,3,1,2,1
holiday,3,2,1,1
bed,3,2,1,1
feather,3,2,1,1
shame,3,1,2,1
fear,3,1,2,2
warm,3,2,1,1
flower,3,2,1,1
comfort,3,2,1,2
dance,3,2,1,1
sing,3,2,1,1
cry,3,1,2,1
laugh,3,2,1,1
dark,3,1,2,2
sunny,3,2,1,1
raincloud,3,2,1,1
calm,3,1,2,1
silly,3,2,1,1
flying,3,2,1,1
wonderful,3,2,1,1
unrequited,3,1,2,2
rose,3,1,2,1
together,3,2,1,2
promise,3,2,1,2
charm,3,2,1,1
beauty,3,2,1,1
cheer,3,2,1,1
smile,3,2,1,1
broken,3,1,2,1
precious,3,2,1,1
prayer,3,1,2,2
clumsy,3,2,1,1
forgive,3,1,2,2
nature,3,2,1,2
ocean,3,2,1,2
dazzle,3,2,1,1
special,3,2,1,1
music,3,2,1,2
lucky,3,2,1,1
misfortune,3,1,2,2
loud,3,2,1,1
peaceful,3,1,2,1
joy,3,1,2,1
sunset,3,2,1,1
fireflies,3,2,1,1
rainbow,3,2,1,1
hurt,3,1,2,2
play,3,2,1,1
sparkle,3,2,1,1
scars,3,1,2,2
empty,3,1,2,2
amazing,3,2,1,1
grief,3,1,2,2
embrace,3,1,2,2
extraordinary,3,2,1,2
awesome,3,2,1,1
defeat,3,1,2,2
hopeless,3,1,2,2
misery,3,1,2,2
treasure,3,2,1,2
bliss,3,2,1,1
memories,3,2,1,2

#Natsuki's words
cute,2,3,1,1
